date,ticker,market_cap,eps_ttm
2023-06-01,AAPL,2833.0,5.91
2023-06-01,MSFT,2473.0,9.23
2023-06-01,GOOGL,1574.0,4.47
2023-06-01,AMZN,1260.0,0.42
2023-06-01,NVDA,982.319,1.93
2023-06-01,BRK-B,706.479,3.37
2023-06-01,META,698.626,8.15
2023-06-01,TSLA,657.735,3.45
2023-06-01,TSM,512.625,6.29
2023-06-01,V,474.382,7.47
2023-06-01,LVMUY,444.405,6.01
2023-06-01,UNH,459.585,21.88
2023-06-01,XOM,417.882,14.77
2023-06-01,LLY,414.348,6.27
2023-06-01,JNJ,401.608,4.78
2023-06-01,JPM,402.049,13.56
2023-06-01,WMT,397.616,4.16
2023-06-01,SPY,,
2023-06-01,NVO,354.366,3.88
2023-06-01,PPCB,,
2023-06-01,MA,351.457,10.0
2023-06-01,PG,339.309,5.76
2023-06-01,AVGO,329.349,29.65
2023-06-01,OLCLY,309.849,0.3
2023-06-01,HD,289.942,16.41
2023-06-01,CVX,288.288,18.53
2023-06-01,ASML,290.166,18.58
2023-06-01,MRK,281.478,5.12
2023-06-01,ORCL,286.152,3.03
2023-06-01,KO,259.475,2.27
2023-06-01,PEP,251.001,4.76
2023-06-01,ABBV,235.427,4.24
2023-06-01,BAC,221.383,3.33
2023-06-01,COST,227.196,13.51
2023-06-01,AZN,229.369,1.51
2023-06-01,PFE,214.635,5.07
2023-06-01,CRM,208.434,0.22
2023-06-01,MCD,210.172,9.29
2023-06-01,BABA,212.688,3.93
2023-06-01,NVS,205.835,3.26
2023-06-01,AMD,192.39,0.18
2023-06-01,BHP,205.727,7.19
2023-06-01,CSCO,202.693,2.79
2023-06-01,TMO,200.336,15.32
2023-06-01,SHEL,195.673,12.06
2023-06-01,ACN,192.899,10.86
2023-06-01,ADBE,195.75,10.18
2023-06-01,TM,191.337,12.78
2023-06-01,ABT,178.799,3.29
2023-06-01,FMX,181.255,3.53
2023-06-01,LIN,174.047,8.98
2023-06-01,LTMAY,199.465,0.05
2023-06-01,DHR,171.702,9.29
2023-06-01,NFLX,179.208,9.37
2023-06-01,NKE,159.278,3.47
2023-06-01,CMCSA,162.751,1.34
2023-06-01,TMUS,166.677,3.07
2023-06-01,DIS,161.88,2.24
2023-06-01,TXN,159.575,8.9
2023-06-01,WFC,150.314,3.46
2023-06-01,SAP,154.578,1.53
2023-06-01,HSBC,150.206,5.6
2023-06-01,NEE,147.629,3.37
2023-06-01,UPS,144.147,12.36
2023-06-01,VZ,150.167,5.14
2023-06-01,TTE,143.472,8.21
2023-06-01,PM,139.946,5.59
2023-06-01,MS,137.066,5.83
2023-06-01,QQQ,,
2023-06-01,RTX,137.479,3.74
2023-06-01,BMY,135.883,3.43
2023-06-01,SNY,126.036,3.56
2023-06-01,UL,126.276,3.2
2023-06-01,HON,129.048,7.7
2023-06-01,SHECY,127.285,1.26
2023-06-01,RY,125.865,7.43
2023-06-01,COP,120.437,12.56
2023-06-01,QCOM,129.035,9.38
2023-06-01,BA,125.107,-6.96
2023-06-01,LOW,120.721,10.44
2023-06-01,INTC,129.843,-0.73
2023-06-01,HDB,120.654,2.51
2023-06-01,SONY,119.885,5.29
2023-06-01,UNP,119.305,11.3
2023-06-01,INTU,118.219,7.92
2023-06-01,IBM,117.882,2.24
2023-06-01,AXP,120.94,9.51
2023-06-01,AMGN,114.49,14.72
2023-06-01,SPGI,118.372,8.19
2023-06-01,PLD,113.254,3.21
2023-06-01,AMAT,113.223,7.58
2023-06-01,LMT,113.88,21.85
2023-06-01,BUD,109.911,3.67
2023-06-01,SBUX,111.797,3.08
2023-06-01,RTNTF,111.8,7.97
2023-06-01,GE,114.12,7.25
2023-06-01,T,113.026,-1.19
2023-06-01,GS,105.187,28.08
